DEPTH,CALI,GR,ILD,ITT,LLD,LLS,MSFL,NPHI,RHOB,SFL,SP
1524,14.3584,54.8415,0.9607,0.1233,1.0149,1.0776,1.4853,0.4159,2.2471,1.2134,40.6607
1524.1524,14.0887,55.8918,0.966,0.1231,0.9986,1.0821,1.5206,0.4255,2.2587,1.189,39.9817
1524.3048,13.819,57.2492,0.9624,0.1238,0.9823,1.0876,1.4323,0.4351,2.2589,1.161,39.3027
1524.4572,13.7363,58.0199,0.9399,0.1252,0.966,1.0079,1.3148,0.4352,2.2546,1.1243,38.6237
1524.6096,13.8716,58.2939,0.9146,0.1256,0.936,1.0188,1.274,0.4353,2.2515,1.0922,38.2129
1524.762,13.9021,58.0758,0.9088,0.1261,0.9141,1.0126,1.3132,0.4282,2.2792,1.0849,38.3154
1524.9144,13.954,59.1712,0.9352,0.1266,0.9072,1.0038,1.3206,0.4334,2.2698,1.0785,38.5261
1525.0668,14.1536,59.2504,0.9699,0.1265,0.8978,0.996,1.318,0.4324,2.2575,1.0765,38.8546
1525.2192,14.1676,57.8784,0.969871429,0.1259,0.8862,0.9889,1.3291,0.4198,2.2588,1.0956,38.8328
1525.3716,13.8922,58.0006,0.969842857,0.1229,0.885,0.9845,1.333,0.4274,2.2809,1.099233333,38.5022
1525.524,13.7208,57.5525,0.969814286,0.12302,0.9033,0.9831,1.3498,0.439,2.2872,1.102866667,38.0211
1525.6764,13.8154,57.1044,0.969785714,0.12314,0.9291,1.0056,1.5142,0.4364,2.2956,1.1065,37.9625
1525.8288,13.7124,56.6563,0.969757143,0.12326,0.93382,1.02034,1.535633333,0.4338,2.292325,1.110133333,37.8552
1525.9812,13.4389,56.2082,0.969728571,0.12338,0.93854,1.03508,1.557066667,0.418,2.28905,1.113766667,37.84133333
1526.1336,13.469875,55.7601,0.9697,0.1235,0.94326,1.04982,1.5785,0.419685714,2.285775,1.1174,37.82746667
1526.286,13.50085,55.312,0.9155,0.1276,0.94798,1.06456,1.1888,0.421371429,2.2825,1.0867,37.8136
1526.4384,13.531825,54.8639,0.8668,0.1277,0.9527,1.0793,1.0314,0.423057143,2.279225,1.0943,38.6576
1526.5908,13.5628,53.4866,0.8499,0.1256,0.903,0.9829,1.0099,0.424742857,2.27595,1.0595,39.2244
1526.7432,13.4896,52.6103,0.8611,0.1278,0.8795,0.9373,1.0072,0.426428571,2.272675,1.0069,39.5505
1526.8956,13.5228,53.3766,0.875,0.127,0.8712,0.9156,1.0196,0.428114286,2.2694,1.03615,39.7452
1527.048,13.7794,53.1432,0.8869,0.1262,0.8782,0.9176,1.0467,0.4298,2.2132,1.0654,39.56496667
1527.2004,13.70713333,53.2452,0.8892,0.1254,0.8347,0.9068,1.0213,0.4356,2.2326,1.09465,39.38473333
1527.3528,13.63486667,53.8657,0.8839,0.1246,0.8393,0.9026,1.0781,0.4262,2.2454,1.1239,39.2045
1527.5052,13.5626,52.9285,0.8743,0.12498,0.8439,0.9402,1.255,0.4232,2.2497,1.122325,38.3052
1527.6576,13.53496,51.2318,0.8803,0.12536,0.9384,1.0161,1.5358,0.4354,2.2706,1.12075,38.0339
1527.81,13.50732,50.2175,0.8908,0.12574,0.920375,1.0643,1.5091,0.4311,2.2709,1.119175,38.2983
1527.9624,13.47968,50.2896,0.9082,0.12612,0.90235,1.07495,1.4824,0.4107,2.2683,1.1176,38.26186667
1528.1148,13.45204,51.5078,0.9146,0.1265,0.884325,1.0856,0.9944,0.411425,2.2977,1.0199,38.22543333
1528.2672,13.4244,52.7697,0.8727,0.1293,0.8663,0.9829,0.9083,0.41215,2.2973,0.9839,38.189
1528.4196,13.45415,52.3272,0.8239,0.13,0.854166667,0.9252,0.9181,0.412875,2.2969,0.9846,39.1486
1528.572,13.4839,51.3884,0.81185,0.1293,0.842033333,0.9169,0.9386,0.4136,2.2965,1.0005,39.5093
1528.7244,13.767,50.6737,0.7998,0.1286,0.8299,0.9025,0.9618,0.4252,2.2456,1.0211,39.7028
1528.8768,13.9359,50.7968,0.8559,0.1301,0.8591,0.9023,0.9703,0.4368,2.2162,1.0091,39.65413333
1529.0292,13.797,51.3205,0.9201,0.1309,0.877,0.9095,0.9708,0.4484,2.21665,1.0012,39.60546667
1529.1816,13.6581,51.3748,0.9784,0.1312,0.8726,0.9398,0.9734,0.4276,2.2171,1.0073,39.5568
1529.334,13.8257,50.8061,0.974191667,0.1302,0.8594,0.9593,0.9734,0.4052,2.2248,1.0459,39.50813333
1529.4864,13.6442,50.4378,0.969983333,0.1263,0.8788,0.9698,0.977,0.4118,2.2177,1.1213,39.45946667
1529.6388,13.6238,51.3387,0.965775,0.1243,0.9188,0.9857,0.9861,0.4184,2.2097,1.115155556,39.4108
1529.7912,13.5891,52.6091,0.961566667,0.12375,0.9705,1.0269,1.0033625,0.423,2.211,1.109011111,38.4631
1529.9436,13.8704,53.8508,0.957358333,0.1232,0.96825,1.024214286,1.020625,0.4089,2.2123,1.102866667,38.5212
1530.096,13.9547,53.79175,0.95315,0.1252,0.966,1.021528571,1.0378875,0.4029,2.2196,1.096722222,38.5793
1530.2484,13.818,53.7327,0.948941667,0.1239,0.96375,1.018842857,1.05515,0.3969,2.2269,1.090577778,38.9323
1530.4008,13.6551,50.9061,0.944733333,0.123633333,0.9615,1.016157143,1.0724125,0.4027,2.2342,1.084433333,38.4774
1530.5532,13.5785,50.7649,0.940525,0.123366667,0.95925,1.013471429,1.089675,0.4339,2.236133333,1.078288889,38.7906
1530.7056,13.55415,50.6237,0.936316667,0.1231,0.957,1.010785714,1.1069375,0.436,2.238066667,1.072144444,39.2061
1530.858,13.5298,50.4825,0.932108333,0.1243,0.95475,1.0081,1.1242,0.4381,2.24,1.066,39.2492
